State,State Abbreviation,Year,Gender,Education Level of Mother,Education Level Code,Number of Births,Average Age of Mother (years),Average Birth Weight (g)
Florida,FL,2021,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,8834,33.4,3228.6
Florida,FL,2021,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2681,34.1,3203.6
Florida,FL,2021,F,Unknown or Not Stated,-9,1113,29.9,2990.8
Florida,FL,2021,M,8th grade or less,1,2992,28.5,3261.6
Florida,FL,2021,M,9th through 12th grade with no diploma,2,7823,25.9,3194.3
Florida,FL,2021,M,High school graduate or GED completed,3,33852,27.5,3239.9
Florida,FL,2021,M,"Some college credit, but not a degree",4,18578,29.3,3283.0
Florida,FL,2021,M,"Associate degree (AA, AS)",5,11647,30.4,3307.7
Florida,FL,2021,M,"Bachelor's degree (BA, AB, BS)",6,22530,31.9,3349.4
Florida,FL,2021,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,9001,33.2,3340.4
Florida,FL,2021,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,2874,34.1,3318.3
Florida,FL,2021,M,Unknown or Not Stated,-9,1196,29.8,3069.3
Georgia,GA,2016,F,8th grade or less,1,2420,28.9,3202.1
Georgia,GA,2016,F,9th through 12th grade with no diploma,2,6825,24.5,3052.8
Georgia,GA,2016,F,High school graduate or GED completed,3,18814,26.0,3093.6
Georgia,GA,2016,F,"Some college credit, but not a degree",4,12209,27.5,3137.7
Georgia,GA,2016,F,"Associate degree (AA, AS)",5,4307,29.4,3165.2
Georgia,GA,2016,F,"Bachelor's degree (BA, AB, BS)",6,13299,31.2,3228.1
Georgia,GA,2016,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4522,32.8,3235.2
Georgia,GA,2016,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1008,33.6,3216.2
Georgia,GA,2016,F,Unknown or Not Stated,-9,558,28.8,3080.4
Georgia,GA,2016,M,8th grade or less,1,2474,28.8,3305.7
Georgia,GA,2016,M,9th through 12th grade with no diploma,2,7008,24.2,3146.2
Georgia,GA,2016,M,High school graduate or GED completed,3,19456,26.1,3213.0
Georgia,GA,2016,M,"Some college credit, but not a degree",4,12774,27.4,3265.6
Georgia,GA,2016,M,"Associate degree (AA, AS)",5,4359,29.4,3308.3
Georgia,GA,2016,M,"Bachelor's degree (BA, AB, BS)",6,13435,31.2,3346.7
Georgia,GA,2016,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4828,32.6,3346.2
Georgia,GA,2016,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1125,33.9,3334.4
Georgia,GA,2016,M,Unknown or Not Stated,-9,621,28.7,3214.6
Georgia,GA,2017,F,8th grade or less,1,2122,29.2,3167.8
Georgia,GA,2017,F,9th through 12th grade with no diploma,2,6106,24.5,3043.5
Georgia,GA,2017,F,High school graduate or GED completed,3,19130,26.2,3097.8
Georgia,GA,2017,F,"Some college credit, but not a degree",4,11984,27.6,3127.8
Georgia,GA,2017,F,"Associate degree (AA, AS)",5,4453,29.5,3179.8
Georgia,GA,2017,F,"Bachelor's degree (BA, AB, BS)",6,13726,31.3,3215.6
Georgia,GA,2017,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4238,32.6,3230.8
Georgia,GA,2017,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1058,33.8,3239.8
Georgia,GA,2017,F,Unknown or Not Stated,-9,396,29.1,3100.4
Georgia,GA,2017,M,8th grade or less,1,2289,29.5,3294.1
Georgia,GA,2017,M,9th through 12th grade with no diploma,2,6514,24.4,3149.8
Georgia,GA,2017,M,High school graduate or GED completed,3,20259,26.2,3208.5
Georgia,GA,2017,M,"Some college credit, but not a degree",4,12284,27.6,3246.8
Georgia,GA,2017,M,"Associate degree (AA, AS)",5,4480,29.4,3294.3
Georgia,GA,2017,M,"Bachelor's degree (BA, AB, BS)",6,14268,31.3,3338.0
Georgia,GA,2017,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4416,32.5,3356.1
Georgia,GA,2017,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1087,33.8,3352.9
Georgia,GA,2017,M,Unknown or Not Stated,-9,433,28.9,3156.5
Georgia,GA,2018,F,8th grade or less,1,2031,28.8,3192.8
Georgia,GA,2018,F,9th through 12th grade with no diploma,2,5767,24.5,3059.5
Georgia,GA,2018,F,High school graduate or GED completed,3,19316,26.3,3090.1
Georgia,GA,2018,F,"Some college credit, but not a degree",4,11381,27.7,3128.0
Georgia,GA,2018,F,"Associate degree (AA, AS)",5,4634,29.6,3175.7
Georgia,GA,2018,F,"Bachelor's degree (BA, AB, BS)",6,12964,31.4,3215.1
Georgia,GA,2018,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4290,32.9,3211.9
Georgia,GA,2018,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1032,34.0,3217.0
Georgia,GA,2018,F,Unknown or Not Stated,-9,297,28.4,3031.7
Georgia,GA,2018,M,8th grade or less,1,2055,29.0,3261.5
Georgia,GA,2018,M,9th through 12th grade with no diploma,2,6111,24.6,3173.7
Georgia,GA,2018,M,High school graduate or GED completed,3,20425,26.4,3201.2
Georgia,GA,2018,M,"Some college credit, but not a degree",4,11512,27.8,3249.9
Georgia,GA,2018,M,"Associate degree (AA, AS)",5,4836,29.8,3269.6
Georgia,GA,2018,M,"Bachelor's degree (BA, AB, BS)",6,13705,31.4,3343.4
Georgia,GA,2018,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4455,32.7,3328.4
Georgia,GA,2018,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1082,34.0,3315.0
Georgia,GA,2018,M,Unknown or Not Stated,-9,279,29.4,3092.2
Georgia,GA,2019,F,8th grade or less,1,1982,28.7,3186.7
Georgia,GA,2019,F,9th through 12th grade with no diploma,2,5840,24.8,3036.7
Georgia,GA,2019,F,High school graduate or GED completed,3,19412,26.4,3086.5
Georgia,GA,2019,F,"Some college credit, but not a degree",4,11170,28.0,3135.4
Georgia,GA,2019,F,"Associate degree (AA, AS)",5,4926,29.8,3134.7
Georgia,GA,2019,F,"Bachelor's degree (BA, AB, BS)",6,13083,31.4,3206.3
Georgia,GA,2019,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4252,32.8,3207.3
Georgia,GA,2019,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1036,34.0,3193.7
Georgia,GA,2019,F,Unknown or Not Stated,-9,356,28.7,3054.1
Georgia,GA,2019,M,8th grade or less,1,2041,29.0,3262.6
Georgia,GA,2019,M,9th through 12th grade with no diploma,2,6011,24.7,3160.9
Georgia,GA,2019,M,High school graduate or GED completed,3,20170,26.4,3204.4
Georgia,GA,2019,M,"Some college credit, but not a degree",4,11548,27.8,3252.0
Georgia,GA,2019,M,"Associate degree (AA, AS)",5,4918,29.7,3268.2
Georgia,GA,2019,M,"Bachelor's degree (BA, AB, BS)",6,13819,31.4,3321.0
Georgia,GA,2019,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4357,32.8,3312.1
Georgia,GA,2019,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1109,34.1,3327.5
Georgia,GA,2019,M,Unknown or Not Stated,-9,341,28.7,3253.9
Georgia,GA,2020,F,8th grade or less,1,1870,29.0,3155.3
Georgia,GA,2020,F,9th through 12th grade with no diploma,2,5318,24.8,3052.3
Georgia,GA,2020,F,High school graduate or GED completed,3,19392,26.6,3097.2
Georgia,GA,2020,F,"Some college credit, but not a degree",4,10311,28.0,3117.8
Georgia,GA,2020,F,"Associate degree (AA, AS)",5,4691,29.9,3158.2
Georgia,GA,2020,F,"Bachelor's degree (BA, AB, BS)",6,12654,31.4,3216.1
Georgia,GA,2020,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4356,32.8,3214.3
Georgia,GA,2020,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1021,34.2,3214.4
Georgia,GA,2020,F,Unknown or Not Stated,-9,200,30.0,2938.7
Georgia,GA,2020,M,8th grade or less,1,1940,29.1,3267.9
Georgia,GA,2020,M,9th through 12th grade with no diploma,2,5567,24.8,3174.5
Georgia,GA,2020,M,High school graduate or GED completed,3,20283,26.5,3192.3
Georgia,GA,2020,M,"Some college credit, but not a degree",4,10835,28.0,3257.8
Georgia,GA,2020,M,"Associate degree (AA, AS)",5,4818,29.8,3270.4
Georgia,GA,2020,M,"Bachelor's degree (BA, AB, BS)",6,13538,31.4,3319.5
Georgia,GA,2020,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4374,32.7,3358.2
Georgia,GA,2020,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1092,33.9,3326.0
Georgia,GA,2020,M,Unknown or Not Stated,-9,213,28.7,3088.6
Georgia,GA,2021,F,8th grade or less,1,1781,29.0,3166.8
Georgia,GA,2021,F,9th through 12th grade with no diploma,2,4973,25.0,3048.6
Georgia,GA,2021,F,High school graduate or GED completed,3,19743,26.7,3072.0
Georgia,GA,2021,F,"Some college credit, but not a degree",4,9734,28.2,3134.9
Georgia,GA,2021,F,"Associate degree (AA, AS)",5,4923,30.0,3137.0
Georgia,GA,2021,F,"Bachelor's degree (BA, AB, BS)",6,13581,31.5,3187.0
Georgia,GA,2021,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,4633,32.9,3199.6
Georgia,GA,2021,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1202,34.2,3184.8
Georgia,GA,2021,F,Unknown or Not Stated,-9,180,28.9,2995.9
Georgia,GA,2021,M,8th grade or less,1,1881,29.0,3240.9
Georgia,GA,2021,M,9th through 12th grade with no diploma,2,5201,24.8,3130.5
Georgia,GA,2021,M,High school graduate or GED completed,3,20573,26.7,3188.6
Georgia,GA,2021,M,"Some college credit, but not a degree",4,10352,28.2,3228.5
Georgia,GA,2021,M,"Associate degree (AA, AS)",5,4975,29.9,3265.3
Georgia,GA,2021,M,"Bachelor's degree (BA, AB, BS)",6,13870,31.5,3318.4
Georgia,GA,2021,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,5042,32.8,3316.4
Georgia,GA,2021,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,1281,34.0,3319.6
Georgia,GA,2021,M,Unknown or Not Stated,-9,148,28.7,3113.8
Hawaii,HI,2016,F,8th grade or less,1,81,28.0,3171.9
Hawaii,HI,2016,F,9th through 12th grade with no diploma,2,1394,26.7,3113.9
Hawaii,HI,2016,F,High school graduate or GED completed,3,1657,26.4,3218.8
Hawaii,HI,2016,F,"Some college credit, but not a degree",4,1712,28.3,3206.3
Hawaii,HI,2016,F,"Associate degree (AA, AS)",5,1027,29.9,3145.2
Hawaii,HI,2016,F,"Bachelor's degree (BA, AB, BS)",6,1862,31.9,3183.3
Hawaii,HI,2016,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,673,34.0,3152.4
Hawaii,HI,2016,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,112,34.8,3259.3
Hawaii,HI,2016,F,Unknown or Not Stated,-9,46,29.3,3033.5
Hawaii,HI,2016,M,8th grade or less,1,76,27.4,3174.4
Hawaii,HI,2016,M,9th through 12th grade with no diploma,2,1565,26.8,3201.7
Hawaii,HI,2016,M,High school graduate or GED completed,3,1800,26.5,3296.8
Hawaii,HI,2016,M,"Some college credit, but not a degree",4,1764,28.4,3316.1
Hawaii,HI,2016,M,"Associate degree (AA, AS)",5,1271,30.3,3238.3
Hawaii,HI,2016,M,"Bachelor's degree (BA, AB, BS)",6,2033,31.7,3295.6
Hawaii,HI,2016,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,825,34.1,3282.3
Hawaii,HI,2016,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,104,34.2,3351.1
Hawaii,HI,2016,M,Unknown or Not Stated,-9,57,29.8,3124.0
Hawaii,HI,2017,F,8th grade or less,1,62,27.3,3058.8
Hawaii,HI,2017,F,9th through 12th grade with no diploma,2,1438,26.4,3119.2
Hawaii,HI,2017,F,High school graduate or GED completed,3,1465,26.7,3198.5
Hawaii,HI,2017,F,"Some college credit, but not a degree",4,1630,28.3,3203.9
Hawaii,HI,2017,F,"Associate degree (AA, AS)",5,1051,30.4,3148.0
Hawaii,HI,2017,F,"Bachelor's degree (BA, AB, BS)",6,1823,32.3,3203.4
Hawaii,HI,2017,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,730,33.8,3202.9
Hawaii,HI,2017,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,126,34.5,3258.9
Hawaii,HI,2017,F,Unknown or Not Stated,-9,54,28.8,2937.4
Hawaii,HI,2017,M,8th grade or less,1,87,27.2,3248.5
Hawaii,HI,2017,M,9th through 12th grade with no diploma,2,1606,26.5,3175.5
Hawaii,HI,2017,M,High school graduate or GED completed,3,1659,26.8,3316.5
Hawaii,HI,2017,M,"Some college credit, but not a degree",4,1762,28.5,3306.0
Hawaii,HI,2017,M,"Associate degree (AA, AS)",5,1123,30.1,3258.2
Hawaii,HI,2017,M,"Bachelor's degree (BA, AB, BS)",6,1977,32.0,3296.9
Hawaii,HI,2017,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,741,33.8,3288.6
Hawaii,HI,2017,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,123,34.7,3345.1
Hawaii,HI,2017,M,Unknown or Not Stated,-9,60,29.1,3080.2
Hawaii,HI,2018,F,8th grade or less,1,59,26.9,3249.2
Hawaii,HI,2018,F,9th through 12th grade with no diploma,2,1390,26.6,3113.2
Hawaii,HI,2018,F,High school graduate or GED completed,3,1411,26.8,3206.9
Hawaii,HI,2018,F,"Some college credit, but not a degree",4,1679,28.8,3175.0
Hawaii,HI,2018,F,"Associate degree (AA, AS)",5,935,30.8,3161.8
Hawaii,HI,2018,F,"Bachelor's degree (BA, AB, BS)",6,1888,32.0,3211.6
Hawaii,HI,2018,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,702,34.2,3225.9
Hawaii,HI,2018,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,121,34.2,3214.4
Hawaii,HI,2018,F,Unknown or Not Stated,-9,61,29.5,3081.8
Hawaii,HI,2018,M,8th grade or less,1,78,29.0,3206.5
Hawaii,HI,2018,M,9th through 12th grade with no diploma,2,1468,26.8,3191.7
Hawaii,HI,2018,M,High school graduate or GED completed,3,1496,26.8,3315.1
Hawaii,HI,2018,M,"Some college credit, but not a degree",4,1754,28.7,3283.4
Hawaii,HI,2018,M,"Associate degree (AA, AS)",5,1041,30.4,3247.8
Hawaii,HI,2018,M,"Bachelor's degree (BA, AB, BS)",6,2001,32.2,3283.5
Hawaii,HI,2018,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,705,33.9,3277.8
Hawaii,HI,2018,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,127,34.8,3280.9
Hawaii,HI,2018,M,Unknown or Not Stated,-9,56,30.4,2916.6
Hawaii,HI,2019,F,8th grade or less,1,71,27.2,3121.2
Hawaii,HI,2019,F,9th through 12th grade with no diploma,2,1388,26.7,3118.2
Hawaii,HI,2019,F,High school graduate or GED completed,3,1420,27.0,3175.5
Hawaii,HI,2019,F,"Some college credit, but not a degree",4,1636,28.9,3172.4
Hawaii,HI,2019,F,"Associate degree (AA, AS)",5,789,31.1,3205.9
Hawaii,HI,2019,F,"Bachelor's degree (BA, AB, BS)",6,1804,32.3,3177.9
Hawaii,HI,2019,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,722,34.0,3171.7
Hawaii,HI,2019,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,111,34.8,3218.0
Hawaii,HI,2019,F,Unknown or Not Stated,-9,78,28.0,3042.4
Hawaii,HI,2019,M,8th grade or less,1,66,28.7,3030.4
Hawaii,HI,2019,M,9th through 12th grade with no diploma,2,1475,26.9,3185.2
Hawaii,HI,2019,M,High school graduate or GED completed,3,1521,26.9,3314.6
Hawaii,HI,2019,M,"Some college credit, but not a degree",4,1882,28.8,3281.0
Hawaii,HI,2019,M,"Associate degree (AA, AS)",5,892,30.7,3244.6
Hawaii,HI,2019,M,"Bachelor's degree (BA, AB, BS)",6,1999,32.2,3276.7
Hawaii,HI,2019,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,733,34.2,3302.7
Hawaii,HI,2019,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,135,35.0,3447.8
Hawaii,HI,2019,M,Unknown or Not Stated,-9,75,28.5,3234.2
Hawaii,HI,2020,F,8th grade or less,1,54,30.4,3166.3
Hawaii,HI,2020,F,9th through 12th grade with no diploma,2,1276,27.2,3111.1
Hawaii,HI,2020,F,High school graduate or GED completed,3,1364,26.8,3220.8
Hawaii,HI,2020,F,"Some college credit, but not a degree",4,1485,28.8,3184.0
Hawaii,HI,2020,F,"Associate degree (AA, AS)",5,770,30.8,3176.0
Hawaii,HI,2020,F,"Bachelor's degree (BA, AB, BS)",6,1814,32.1,3188.6
Hawaii,HI,2020,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,657,34.2,3202.2
Hawaii,HI,2020,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,120,35.0,3244.1
Hawaii,HI,2020,F,Unknown or Not Stated,-9,129,30.3,3194.2
Hawaii,HI,2020,M,8th grade or less,1,62,27.1,3130.4
Hawaii,HI,2020,M,9th through 12th grade with no diploma,2,1259,27.3,3229.9
Hawaii,HI,2020,M,High school graduate or GED completed,3,1433,26.9,3295.8
Hawaii,HI,2020,M,"Some college credit, but not a degree",4,1640,28.8,3288.4
Hawaii,HI,2020,M,"Associate degree (AA, AS)",5,852,30.6,3293.0
Hawaii,HI,2020,M,"Bachelor's degree (BA, AB, BS)",6,1884,32.1,3276.8
Hawaii,HI,2020,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,731,34.1,3298.7
Hawaii,HI,2020,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,125,34.5,3309.4
Hawaii,HI,2020,M,Unknown or Not Stated,-9,130,29.3,3156.2
Hawaii,HI,2021,F,8th grade or less,1,40,29.4,3248.7
Hawaii,HI,2021,F,9th through 12th grade with no diploma,2,1117,27.0,3124.4
Hawaii,HI,2021,F,High school graduate or GED completed,3,1290,27.0,3203.2
Hawaii,HI,2021,F,"Some college credit, but not a degree",4,1454,29.4,3196.5
Hawaii,HI,2021,F,"Associate degree (AA, AS)",5,780,31.0,3171.3
Hawaii,HI,2021,F,"Bachelor's degree (BA, AB, BS)",6,1825,32.2,3171.5
Hawaii,HI,2021,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,726,34.3,3178.6
Hawaii,HI,2021,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,139,34.6,3219.3
Hawaii,HI,2021,F,Unknown or Not Stated,-9,141,29.8,2970.0
Hawaii,HI,2021,M,8th grade or less,1,62,29.4,3221.0
Hawaii,HI,2021,M,9th through 12th grade with no diploma,2,1237,27.3,3185.0
Hawaii,HI,2021,M,High school graduate or GED completed,3,1429,27.1,3312.5
Hawaii,HI,2021,M,"Some college credit, but not a degree",4,1546,29.4,3284.1
Hawaii,HI,2021,M,"Associate degree (AA, AS)",5,800,31.1,3251.0
Hawaii,HI,2021,M,"Bachelor's degree (BA, AB, BS)",6,1919,32.2,3294.1
Hawaii,HI,2021,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,797,34.2,3293.6
Hawaii,HI,2021,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,157,34.5,3291.4
Hawaii,HI,2021,M,Unknown or Not Stated,-9,161,30.5,3204.1
Idaho,ID,2016,F,8th grade or less,1,258,30.9,3265.3
Idaho,ID,2016,F,9th through 12th grade with no diploma,2,948,24.2,3119.6
Idaho,ID,2016,F,High school graduate or GED completed,3,2817,26.0,3199.4
Idaho,ID,2016,F,"Some college credit, but not a degree",4,2825,27.4,3260.5
Idaho,ID,2016,F,"Associate degree (AA, AS)",5,1131,29.1,3294.0
Idaho,ID,2016,F,"Bachelor's degree (BA, AB, BS)",6,2318,30.0,3321.5
Idaho,ID,2016,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,504,32.5,3272.1
Idaho,ID,2016,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,145,33.3,3356.1
Idaho,ID,2016,F,Unknown or Not Stated,-9,53,30.4,3165.3
Idaho,ID,2016,M,8th grade or less,1,281,30.2,3256.5
Idaho,ID,2016,M,9th through 12th grade with no diploma,2,1015,24.1,3238.8
Idaho,ID,2016,M,High school graduate or GED completed,3,2966,25.9,3299.7
Idaho,ID,2016,M,"Some college credit, but not a degree",4,2936,27.3,3364.9
Idaho,ID,2016,M,"Associate degree (AA, AS)",5,1190,29.2,3359.6
Idaho,ID,2016,M,"Bachelor's degree (BA, AB, BS)",6,2359,30.3,3455.8
Idaho,ID,2016,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,532,32.7,3382.1
Idaho,ID,2016,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,148,33.3,3347.9
Idaho,ID,2016,M,Unknown or Not Stated,-9,56,28.5,3238.4
Idaho,ID,2017,F,8th grade or less,1,223,30.3,3240.2
Idaho,ID,2017,F,9th through 12th grade with no diploma,2,971,24.7,3129.2
Idaho,ID,2017,F,High school graduate or GED completed,3,2817,26.0,3208.9
Idaho,ID,2017,F,"Some college credit, but not a degree",4,2760,27.6,3258.7
Idaho,ID,2017,F,"Associate degree (AA, AS)",5,1117,29.0,3299.7
Idaho,ID,2017,F,"Bachelor's degree (BA, AB, BS)",6,2293,30.4,3325.4
Idaho,ID,2017,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,498,32.5,3269.1
Idaho,ID,2017,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,132,33.9,3236.7
Idaho,ID,2017,F,Unknown or Not Stated,-9,47,29.4,2966.8
Idaho,ID,2017,M,8th grade or less,1,240,30.2,3269.8
Idaho,ID,2017,M,9th through 12th grade with no diploma,2,975,24.0,3252.9
Idaho,ID,2017,M,High school graduate or GED completed,3,2764,25.9,3317.6
Idaho,ID,2017,M,"Some college credit, but not a degree",4,2989,27.7,3355.1
Idaho,ID,2017,M,"Associate degree (AA, AS)",5,1169,28.9,3353.8
Idaho,ID,2017,M,"Bachelor's degree (BA, AB, BS)",6,2376,30.1,3433.7
Idaho,ID,2017,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,552,32.7,3422.3
Idaho,ID,2017,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,186,33.2,3421.8
Idaho,ID,2017,M,Unknown or Not Stated,-9,72,26.8,3374.0
Idaho,ID,2018,F,8th grade or less,1,196,30.4,3150.8
Idaho,ID,2018,F,9th through 12th grade with no diploma,2,875,24.6,3147.9
Idaho,ID,2018,F,High school graduate or GED completed,3,2678,26.2,3195.8
Idaho,ID,2018,F,"Some college credit, but not a degree",4,2735,27.7,3227.3
Idaho,ID,2018,F,"Associate degree (AA, AS)",5,1021,29.3,3278.5
Idaho,ID,2018,F,"Bachelor's degree (BA, AB, BS)",6,2220,30.2,3268.0
Idaho,ID,2018,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,525,32.7,3274.7
Idaho,ID,2018,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,136,33.3,3217.1
Idaho,ID,2018,F,Unknown or Not Stated,-9,49,29.4,3247.2
Idaho,ID,2018,M,8th grade or less,1,218,30.5,3316.0
Idaho,ID,2018,M,9th through 12th grade with no diploma,2,926,24.4,3200.6
Idaho,ID,2018,M,High school graduate or GED completed,3,2752,26.0,3306.0
Idaho,ID,2018,M,"Some college credit, but not a degree",4,2741,27.7,3350.6
Idaho,ID,2018,M,"Associate degree (AA, AS)",5,1127,29.1,3378.8
Idaho,ID,2018,M,"Bachelor's degree (BA, AB, BS)",6,2453,30.1,3422.7
Idaho,ID,2018,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,534,32.8,3381.7
Idaho,ID,2018,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,164,33.4,3344.1
Idaho,ID,2018,M,Unknown or Not Stated,-9,53,29.0,3430.8
Idaho,ID,2019,F,8th grade or less,1,230,29.8,3187.0
Idaho,ID,2019,F,9th through 12th grade with no diploma,2,880,24.5,3091.9
Idaho,ID,2019,F,High school graduate or GED completed,3,2678,26.4,3200.9
Idaho,ID,2019,F,"Some college credit, but not a degree",4,2756,27.9,3241.9
Idaho,ID,2019,F,"Associate degree (AA, AS)",5,1074,29.2,3233.4
Idaho,ID,2019,F,"Bachelor's degree (BA, AB, BS)",6,2385,30.3,3293.6
Idaho,ID,2019,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,579,32.8,3255.7
Idaho,ID,2019,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,161,33.3,3258.0
Idaho,ID,2019,F,Unknown or Not Stated,-9,51,29.2,3275.5
Idaho,ID,2019,M,8th grade or less,1,219,31.6,3319.5
Idaho,ID,2019,M,9th through 12th grade with no diploma,2,924,24.6,3232.2
Idaho,ID,2019,M,High school graduate or GED completed,3,2825,26.2,3315.9
Idaho,ID,2019,M,"Some college credit, but not a degree",4,2806,27.8,3362.8
Idaho,ID,2019,M,"Associate degree (AA, AS)",5,1185,29.3,3373.9
Idaho,ID,2019,M,"Bachelor's degree (BA, AB, BS)",6,2506,30.4,3410.6
Idaho,ID,2019,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,581,32.8,3426.4
Idaho,ID,2019,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,147,33.6,3395.8
Idaho,ID,2019,M,Unknown or Not Stated,-9,76,27.6,3194.6
Idaho,ID,2020,F,8th grade or less,1,191,29.7,3142.3
Idaho,ID,2020,F,9th through 12th grade with no diploma,2,887,24.4,3123.8
Idaho,ID,2020,F,High school graduate or GED completed,3,2594,26.3,3196.6
Idaho,ID,2020,F,"Some college credit, but not a degree",4,2608,27.8,3242.3
Idaho,ID,2020,F,"Associate degree (AA, AS)",5,1076,29.3,3273.8
Idaho,ID,2020,F,"Bachelor's degree (BA, AB, BS)",6,2341,30.5,3301.6
Idaho,ID,2020,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,510,32.5,3253.6
Idaho,ID,2020,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,144,33.8,3337.2
